# QuadID Node1 Node2 Node3 Node4
0 0 1 2 3
1 3 2 40 41
2 41 40 46 47
3 47 46 80 81
4 81 80 86 87
5 87 86 120 121
6 121 120 126 127
7 127 126 132 133
8 133 132 166 167
9 167 166 172 173
10 1 206 207 2
11 2 207 212 40
12 40 212 215 46
13 46 215 218 80
14 80 218 221 86
15 86 221 224 120
16 120 224 227 126
17 126 227 230 132
18 132 230 233 166
19 166 233 236 172
20 206 239 240 207
21 207 240 273 212
22 212 273 276 215
23 215 276 307 218
24 218 307 310 221
25 221 310 341 224
26 224 341 344 227
27 227 344 347 230
28 230 347 378 233
29 233 378 381 236
30 239 412 413 240
31 240 413 418 273
32 273 418 421 276
33 276 421 424 307
34 307 424 427 310
35 310 427 430 341
36 341 430 433 344
37 344 433 436 347
38 347 436 439 378
39 378 439 442 381
40 412 445 446 413
41 413 446 479 418
42 418 479 482 421
43 421 482 513 424
44 424 513 516 427
45 427 516 547 430
46 430 547 550 433
47 433 550 553 436
48 436 553 584 439
49 439 584 587 442
50 445 618 619 446
51 446 619 624 479
52 479 624 627 482
53 482 627 630 513
54 513 630 633 516
55 516 633 636 547
56 547 636 639 550
57 550 639 642 553
58 553 642 645 584
59 584 645 648 587
60 618 651 652 619
61 619 652 657 624
62 624 657 660 627
63 627 660 663 630
64 630 663 666 633
65 633 666 669 636
66 636 669 672 639
67 639 672 675 642
68 642 675 678 645
69 645 678 681 648
70 651 684 685 652
71 652 685 718 657
72 657 718 721 660
73 660 721 752 663
74 663 752 755 666
75 666 755 786 669
76 669 786 789 672
77 672 789 792 675
78 675 792 823 678
79 678 823 826 681
80 684 857 858 685
81 685 858 863 718
82 718 863 866 721
83 721 866 869 752
84 752 869 872 755
85 755 872 875 786
86 786 875 878 789
87 789 878 881 792
88 792 881 884 823
89 823 884 887 826
90 857 890 891 858
91 858 891 924 863
92 863 924 927 866
93 866 927 958 869
94 869 958 961 872
95 872 961 992 875
96 875 992 995 878
97 878 995 998 881
98 881 998 1029 884
99 884 1029 1032 887
