# NodeID X Y Z
0 0.000000 0.000000 0.000000
1 0.100000 0.000000 0.000000
2 0.100000 0.100000 0.000000
3 0.000000 0.100000 0.000000
4 0.000000 0.000000 0.100000
5 0.100000 0.000000 0.100000
6 0.100000 0.100000 0.100000
7 0.000000 0.100000 0.100000
8 0.000000 0.000000 0.200000
9 0.100000 0.000000 0.200000
10 0.100000 0.100000 0.200000
11 0.000000 0.100000 0.200000
12 0.000000 0.000000 0.300000
13 0.100000 0.000000 0.300000
14 0.100000 0.100000 0.300000
15 0.000000 0.100000 0.300000
16 0.000000 0.000000 0.400000
17 0.100000 0.000000 0.400000
18 0.100000 0.100000 0.400000
19 0.000000 0.100000 0.400000
20 0.000000 0.000000 0.500000
21 0.100000 0.000000 0.500000
22 0.100000 0.100000 0.500000
23 0.000000 0.100000 0.500000
24 0.000000 0.000000 0.600000
25 0.100000 0.000000 0.600000
26 0.100000 0.100000 0.600000
27 0.000000 0.100000 0.600000
28 0.000000 0.000000 0.700000
29 0.100000 0.000000 0.700000
30 0.100000 0.100000 0.700000
31 0.000000 0.100000 0.700000
32 0.000000 0.000000 0.800000
33 0.100000 0.000000 0.800000
34 0.100000 0.100000 0.800000
35 0.000000 0.100000 0.800000
36 0.000000 0.000000 0.900000
37 0.100000 0.000000 0.900000
38 0.100000 0.100000 0.900000
39 0.000000 0.100000 0.900000
40 0.100000 0.200000 0.000000
41 0.000000 0.200000 0.000000
42 0.100000 0.200000 0.100000
43 0.000000 0.200000 0.100000
44 0.100000 0.200000 0.200000
45 0.000000 0.200000 0.200000
46 0.100000 0.300000 0.000000
47 0.000000 0.300000 0.000000
48 0.100000 0.300000 0.100000
49 0.000000 0.300000 0.100000
50 0.100000 0.300000 0.200000
51 0.000000 0.300000 0.200000
52 0.000000 0.200000 0.300000
53 0.100000 0.200000 0.300000
54 0.100000 0.300000 0.300000
55 0.000000 0.300000 0.300000
56 0.000000 0.200000 0.400000
57 0.100000 0.200000 0.400000
58 0.100000 0.300000 0.400000
59 0.000000 0.300000 0.400000
60 0.000000 0.200000 0.500000
61 0.100000 0.200000 0.500000
62 0.100000 0.300000 0.500000
63 0.000000 0.300000 0.500000
64 0.000000 0.200000 0.600000
65 0.100000 0.200000 0.600000
66 0.100000 0.300000 0.600000
67 0.000000 0.300000 0.600000
68 0.000000 0.200000 0.700000
69 0.100000 0.200000 0.700000
70 0.100000 0.300000 0.700000
71 0.000000 0.300000 0.700000
72 0.000000 0.200000 0.800000
73 0.100000 0.200000 0.800000
74 0.100000 0.300000 0.800000
75 0.000000 0.300000 0.800000
76 0.000000 0.200000 0.900000
77 0.100000 0.200000 0.900000
78 0.100000 0.300000 0.900000
79 0.000000 0.300000 0.900000
80 0.100000 0.400000 0.000000
81 0.000000 0.400000 0.000000
82 0.100000 0.400000 0.100000
83 0.000000 0.400000 0.100000
84 0.100000 0.400000 0.200000
85 0.000000 0.400000 0.200000
