# QuadID Node1 Node2 Node3 Node4
0 0 1 2 3
1 3 2 20 21
2 21 20 30 31
3 31 30 40 41
4 1 50 51 2
5 2 51 60 20
6 20 60 65 30
7 30 65 70 40
8 50 75 76 51
9 51 76 85 60
10 60 85 90 65
11 65 90 95 70
12 75 100 101 76
13 76 101 110 85
14 85 110 115 90
15 90 115 120 95
16 41 40 925 926
17 926 925 935 936
18 936 935 945 946
19 946 945 955 956
20 40 70 965 925
21 925 965 970 935
22 935 970 975 945
23 945 975 980 955
24 70 95 985 965
25 965 985 990 970
26 970 990 995 975
27 975 995 1000 980
28 95 120 1005 985
29 985 1005 1010 990
30 990 1010 1015 995
31 995 1015 1020 1000
32 956 955 1105 1106
33 1106 1105 1115 1116
34 1116 1115 1125 1126
35 1126 1125 1135 1136
36 955 980 1145 1105
37 1105 1145 1150 1115
38 1115 1150 1155 1125
39 1125 1155 1160 1135
40 980 1000 1165 1145
41 1145 1165 1170 1150
42 1150 1170 1175 1155
43 1155 1175 1180 1160
44 1000 1020 1185 1165
45 1165 1185 1190 1170
46 1170 1190 1195 1175
47 1175 1195 1200 1180
48 1136 1135 1985 1986
49 1986 1985 1995 1996
50 1996 1995 2005 2006
51 2006 2005 2015 2016
52 1135 1160 2025 1985
53 1985 2025 2030 1995
54 1995 2030 2035 2005
55 2005 2035 2040 2015
56 1160 1180 2045 2025
57 2025 2045 2050 2030
58 2030 2050 2055 2035
59 2035 2055 2060 2040
60 1180 1200 2065 2045
61 2045 2065 2070 2050
62 2050 2070 2075 2055
63 2055 2075 2080 2060
64 2016 2015 2165 2166
65 2166 2165 2175 2176
66 2176 2175 2185 2186
67 2186 2185 2195 2196
68 2015 2040 2205 2165
69 2165 2205 2210 2175
70 2175 2210 2215 2185
71 2185 2215 2220 2195
72 2040 2060 2225 2205
73 2205 2225 2230 2210
74 2210 2230 2235 2215
75 2215 2235 2240 2220
76 2060 2080 2245 2225
77 2225 2245 2250 2230
78 2230 2250 2255 2235
79 2235 2255 2260 2240
80 2196 2195 3045 3046
81 3046 3045 3055 3056
82 3056 3055 3065 3066
83 3066 3065 3075 3076
84 2195 2220 3085 3045
85 3045 3085 3090 3055
86 3055 3090 3095 3065
87 3065 3095 3100 3075
88 2220 2240 3105 3085
89 3085 3105 3110 3090
90 3090 3110 3115 3095
91 3095 3115 3120 3100
92 2240 2260 3125 3105
93 3105 3125 3130 3110
94 3110 3130 3135 3115
95 3115 3135 3140 3120
96 3076 3075 3225 3226
97 3226 3225 3235 3236
98 3236 3235 3245 3246
99 3246 3245 3255 3256
100 3075 3100 3265 3225
101 3225 3265 3270 3235
102 3235 3270 3275 3245
103 3245 3275 3280 3255
104 3100 3120 3285 3265
105 3265 3285 3290 3270
106 3270 3290 3295 3275
107 3275 3295 3300 3280
108 3120 3140 3305 3285
109 3285 3305 3310 3290
110 3290 3310 3315 3295
111 3295 3315 3320 3300
112 3256 3255 3405 3406
113 3406 3405 3415 3416
114 3416 3415 3425 3426
115 3426 3425 3435 3436
116 3255 3280 3445 3405
117 3405 3445 3450 3415
118 3415 3450 3455 3425
119 3425 3455 3460 3435
120 3280 3300 3465 3445
121 3445 3465 3470 3450
122 3450 3470 3475 3455
123 3455 3475 3480 3460
124 3300 3320 3485 3465
125 3465 3485 3490 3470
126 3470 3490 3495 3475
127 3475 3495 3500 3480
128 3436 3435 4285 4286
129 4286 4285 4295 4296
130 4296 4295 4305 4306
131 4306 4305 4315 4316
132 3435 3460 4325 4285
133 4285 4325 4330 4295
134 4295 4330 4335 4305
135 4305 4335 4340 4315
136 3460 3480 4345 4325
137 4325 4345 4350 4330
138 4330 4350 4355 4335
139 4335 4355 4360 4340
140 3480 3500 4365 4345
141 4345 4365 4370 4350
142 4350 4370 4375 4355
143 4355 4375 4380 4360
