# NodeID X Y Z
0 0.000000 0.000000 0.000000
1 0.025000 0.000000 0.000000
2 0.025000 0.025000 0.000000
3 0.000000 0.025000 0.000000
4 0.000000 0.000000 0.025000
5 0.025000 0.000000 0.025000
6 0.025000 0.025000 0.025000
7 0.000000 0.025000 0.025000
8 0.000000 0.000000 0.050000
9 0.025000 0.000000 0.050000
10 0.025000 0.025000 0.050000
11 0.000000 0.025000 0.050000
12 0.000000 0.000000 0.075000
13 0.025000 0.000000 0.075000
14 0.025000 0.025000 0.075000
15 0.000000 0.025000 0.075000
16 0.000000 0.000000 0.100000
17 0.025000 0.000000 0.100000
18 0.025000 0.025000 0.100000
19 0.000000 0.025000 0.100000
20 0.025000 0.050000 0.000000
21 0.000000 0.050000 0.000000
22 0.025000 0.050000 0.025000
23 0.000000 0.050000 0.025000
24 0.025000 0.050000 0.050000
25 0.000000 0.050000 0.050000
26 0.025000 0.050000 0.075000
27 0.000000 0.050000 0.075000
28 0.025000 0.050000 0.100000
29 0.000000 0.050000 0.100000
30 0.025000 0.075000 0.000000
31 0.000000 0.075000 0.000000
32 0.025000 0.075000 0.025000
33 0.000000 0.075000 0.025000
34 0.025000 0.075000 0.050000
35 0.000000 0.075000 0.050000
36 0.025000 0.075000 0.075000
37 0.000000 0.075000 0.075000
38 0.025000 0.075000 0.100000
39 0.000000 0.075000 0.100000
40 0.025000 0.100000 0.000000
41 0.000000 0.100000 0.000000
42 0.025000 0.100000 0.025000
43 0.000000 0.100000 0.025000
44 0.025000 0.100000 0.050000
45 0.000000 0.100000 0.050000
46 0.025000 0.100000 0.075000
47 0.000000 0.100000 0.075000
48 0.025000 0.100000 0.100000
49 0.000000 0.100000 0.100000
50 0.050000 0.000000 0.000000
51 0.050000 0.025000 0.000000
52 0.050000 0.000000 0.025000
53 0.050000 0.025000 0.025000
54 0.050000 0.000000 0.050000
55 0.050000 0.025000 0.050000
56 0.050000 0.000000 0.075000
57 0.050000 0.025000 0.075000
58 0.050000 0.000000 0.100000
59 0.050000 0.025000 0.100000
60 0.050000 0.050000 0.000000
61 0.050000 0.050000 0.025000
62 0.050000 0.050000 0.050000
63 0.050000 0.050000 0.075000
64 0.050000 0.050000 0.100000
65 0.050000 0.075000 0.000000
66 0.050000 0.075000 0.025000
67 0.050000 0.075000 0.050000
68 0.050000 0.075000 0.075000
69 0.050000 0.075000 0.100000
70 0.050000 0.100000 0.000000
71 0.050000 0.100000 0.025000
72 0.050000 0.100000 0.050000
73 0.050000 0.100000 0.075000
74 0.050000 0.100000 0.100000
75 0.075000 0.000000 0.000000
76 0.075000 0.025000 0.000000
77 0.075000 0.000000 0.025000
78 0.075000 0.025000 0.025000
79 0.075000 0.000000 0.050000
80 0.075000 0.025000 0.050000
81 0.075000 0.000000 0.075000
82 0.075000 0.025000 0.075000
83 0.075000 0.000000 0.100000
84 0.075000 0.025000 0.100000
85 0.075000 0.050000 0.000000
86 0.075000 0.050000 0.025000
87 0.075000 0.050000 0.050000
88 0.075000 0.050000 0.075000
89 0.075000 0.050000 0.100000
90 0.075000 0.075000 0.000000
91 0.075000 0.075000 0.025000
92 0.075000 0.075000 0.050000
93 0.075000 0.075000 0.075000
94 0.075000 0.075000 0.100000
95 0.075000 0.100000 0.000000
96 0.075000 0.100000 0.025000
97 0.075000 0.100000 0.050000
98 0.075000 0.100000 0.075000
99 0.075000 0.100000 0.100000
100 0.100000 0.000000 0.000000
101 0.100000 0.025000 0.000000
102 0.100000 0.000000 0.025000
103 0.100000 0.025000 0.025000
104 0.100000 0.000000 0.050000
105 0.100000 0.025000 0.050000
106 0.100000 0.000000 0.075000
107 0.100000 0.025000 0.075000
108 0.100000 0.000000 0.100000
109 0.100000 0.025000 0.100000
110 0.100000 0.050000 0.000000
111 0.100000 0.050000 0.025000
112 0.100000 0.050000 0.050000
113 0.100000 0.050000 0.075000
114 0.100000 0.050000 0.100000
115 0.100000 0.075000 0.000000
116 0.100000 0.075000 0.025000
117 0.100000 0.075000 0.050000
118 0.100000 0.075000 0.075000
119 0.100000 0.075000 0.100000
120 0.100000 0.100000 0.000000
121 0.100000 0.100000 0.025000
122 0.100000 0.100000 0.050000
123 0.100000 0.100000 0.075000
124 0.100000 0.100000 0.100000
125 0.000000 0.000000 0.125000
126 0.025000 0.000000 0.125000
127 0.025000 0.025000 0.125000
128 0.000000 0.025000 0.125000
129 0.000000 0.000000 0.150000
130 0.025000 0.000000 0.150000
131 0.025000 0.025000 0.150000
132 0.000000 0.025000 0.150000
133 0.000000 0.000000 0.175000
134 0.025000 0.000000 0.175000
135 0.025000 0.025000 0.175000
136 0.000000 0.025000 0.175000
137 0.000000 0.000000 0.200000
138 0.025000 0.000000 0.200000
139 0.025000 0.025000 0.200000
140 0.000000 0.025000 0.200000
141 0.025000 0.050000 0.125000
142 0.000000 0.050000 0.125000
143 0.025000 0.050000 0.150000
144 0.000000 0.050000 0.150000
145 0.025000 0.050000 0.175000
146 0.000000 0.050000 0.175000
147 0.025000 0.050000 0.200000
148 0.000000 0.050000 0.200000
149 0.025000 0.075000 0.125000
150 0.000000 0.075000 0.125000
151 0.025000 0.075000 0.150000
152 0.000000 0.075000 0.150000
153 0.025000 0.075000 0.175000
154 0.000000 0.075000 0.175000
155 0.025000 0.075000 0.200000
156 0.000000 0.075000 0.200000
157 0.025000 0.100000 0.125000
158 0.000000 0.100000 0.125000
159 0.025000 0.100000 0.150000
160 0.000000 0.100000 0.150000
161 0.025000 0.100000 0.175000
162 0.000000 0.100000 0.175000
163 0.025000 0.100000 0.200000
164 0.000000 0.100000 0.200000
165 0.050000 0.000000 0.125000
166 0.050000 0.025000 0.125000
167 0.050000 0.000000 0.150000
168 0.050000 0.025000 0.150000
169 0.050000 0.000000 0.175000
170 0.050000 0.025000 0.175000
171 0.050000 0.000000 0.200000
172 0.050000 0.025000 0.200000
173 0.050000 0.050000 0.125000
174 0.050000 0.050000 0.150000
175 0.050000 0.050000 0.175000
176 0.050000 0.050000 0.200000
177 0.050000 0.075000 0.125000
178 0.050000 0.075000 0.150000
179 0.050000 0.075000 0.175000
180 0.050000 0.075000 0.200000
181 0.050000 0.100000 0.125000
182 0.050000 0.100000 0.150000
183 0.050000 0.100000 0.175000
184 0.050000 0.100000 0.200000
185 0.075000 0.000000 0.125000
186 0.075000 0.025000 0.125000
187 0.075000 0.000000 0.150000
188 0.075000 0.025000 0.150000
189 0.075000 0.000000 0.175000
190 0.075000 0.025000 0.175000
191 0.075000 0.000000 0.200000
192 0.075000 0.025000 0.200000
193 0.075000 0.050000 0.125000
194 0.075000 0.050000 0.150000
195 0.075000 0.050000 0.175000
196 0.075000 0.050000 0.200000
197 0.075000 0.075000 0.125000
198 0.075000 0.075000 0.150000
199 0.075000 0.075000 0.175000
200 0.075000 0.075000 0.200000
201 0.075000 0.100000 0.125000
202 0.075000 0.100000 0.150000
203 0.075000 0.100000 0.175000
204 0.075000 0.100000 0.200000
205 0.100000 0.000000 0.125000
206 0.100000 0.025000 0.125000
207 0.100000 0.000000 0.150000
208 0.100000 0.025000 0.150000
209 0.100000 0.000000 0.175000
210 0.100000 0.025000 0.175000
211 0.100000 0.000000 0.200000
212 0.100000 0.025000 0.200000
213 0.100000 0.050000 0.125000
214 0.100000 0.050000 0.150000
215 0.100000 0.050000 0.175000
216 0.100000 0.050000 0.200000
217 0.100000 0.075000 0.125000
218 0.100000 0.075000 0.150000
219 0.100000 0.075000 0.175000
220 0.100000 0.075000 0.200000
221 0.100000 0.100000 0.125000
222 0.100000 0.100000 0.150000
223 0.100000 0.100000 0.175000
224 0.100000 0.100000 0.200000
225 0.000000 0.000000 0.225000
226 0.025000 0.000000 0.225000
227 0.025000 0.025000 0.225000
228 0.000000 0.025000 0.225000
229 0.000000 0.000000 0.250000
230 0.025000 0.000000 0.250000
231 0.025000 0.025000 0.250000
232 0.000000 0.025000 0.250000
233 0.000000 0.000000 0.275000
234 0.025000 0.000000 0.275000
235 0.025000 0.025000 0.275000
236 0.000000 0.025000 0.275000
237 0.000000 0.000000 0.300000
238 0.025000 0.000000 0.300000
239 0.025000 0.025000 0.300000
240 0.000000 0.025000 0.300000
241 0.025000 0.050000 0.225000
242 0.000000 0.050000 0.225000
243 0.025000 0.050000 0.250000
244 0.000000 0.050000 0.250000
245 0.025000 0.050000 0.275000
246 0.000000 0.050000 0.275000
247 0.025000 0.050000 0.300000
248 0.000000 0.050000 0.300000
249 0.025000 0.075000 0.225000
250 0.000000 0.075000 0.225000
251 0.025000 0.075000 0.250000
252 0.000000 0.075000 0.250000
253 0.025000 0.075000 0.275000
254 0.000000 0.075000 0.275000
255 0.025000 0.075000 0.300000
256 0.000000 0.075000 0.300000
257 0.025000 0.100000 0.225000
258 0.000000 0.100000 0.225000
259 0.025000 0.100000 0.250000
260 0.000000 0.100000 0.250000
261 0.025000 0.100000 0.275000
262 0.000000 0.100000 0.275000
263 0.025000 0.100000 0.300000
264 0.000000 0.100000 0.300000
265 0.050000 0.000000 0.225000
266 0.050000 0.025000 0.225000
267 0.050000 0.000000 0.250000
268 0.050000 0.025000 0.250000
269 0.050000 0.000000 0.275000
270 0.050000 0.025000 0.275000
271 0.050000 0.000000 0.300000
272 0.050000 0.025000 0.300000
273 0.050000 0.050000 0.225000
274 0.050000 0.050000 0.250000
275 0.050000 0.050000 0.275000
276 0.050000 0.050000 0.300000
277 0.050000 0.075000 0.225000
278 0.050000 0.075000 0.250000
279 0.050000 0.075000 0.275000
280 0.050000 0.075000 0.300000
281 0.050000 0.100000 0.225000
282 0.050000 0.100000 0.250000
283 0.050000 0.100000 0.275000
284 0.050000 0.100000 0.300000
285 0.075000 0.000000 0.225000
286 0.075000 0.025000 0.225000
287 0.075000 0.000000 0.250000
288 0.075000 0.025000 0.250000
289 0.075000 0.000000 0.275000
290 0.075000 0.025000 0.275000
291 0.075000 0.000000 0.300000
292 0.075000 0.025000 0.300000
293 0.075000 0.050000 0.225000
294 0.075000 0.050000 0.250000
295 0.075000 0.050000 0.275000
296 0.075000 0.050000 0.300000
297 0.075000 0.075000 0.225000
298 0.075000 0.075000 0.250000
299 0.075000 0.075000 0.275000
300 0.075000 0.075000 0.300000
301 0.075000 0.100000 0.225000
302 0.075000 0.100000 0.250000
303 0.075000 0.100000 0.275000
304 0.075000 0.100000 0.300000
305 0.100000 0.000000 0.225000
306 0.100000 0.025000 0.225000
307 0.100000 0.000000 0.250000
308 0.100000 0.025000 0.250000
309 0.100000 0.000000 0.275000
310 0.100000 0.025000 0.275000
311 0.100000 0.000000 0.300000
312 0.100000 0.025000 0.300000
313 0.100000 0.050000 0.225000
314 0.100000 0.050000 0.250000
315 0.100000 0.050000 0.275000
316 0.100000 0.050000 0.300000
317 0.100000 0.075000 0.225000
318 0.100000 0.075000 0.250000
319 0.100000 0.075000 0.275000
320 0.100000 0.075000 0.300000
321 0.100000 0.100000 0.225000
322 0.100000 0.100000 0.250000
323 0.100000 0.100000 0.275000
324 0.100000 0.100000 0.300000
325 0.000000 0.000000 0.325000
326 0.025000 0.000000 0.325000
327 0.025000 0.025000 0.325000
328 0.000000 0.025000 0.325000
329 0.000000 0.000000 0.350000
330 0.025000 0.000000 0.350000
331 0.025000 0.025000 0.350000
332 0.000000 0.025000 0.350000
333 0.000000 0.000000 0.375000
334 0.025000 0.000000 0.375000
335 0.025000 0.025000 0.375000
336 0.000000 0.025000 0.375000
337 0.000000 0.000000 0.400000
